Date,Volume
1/1/2019,18
1/2/2019,19
1/3/2019,20
1/4/2019,21
1/5/2019,22
1/6/2019,23
1/7/2019,24
1/8/2019,25
1/9/2019,26
1/10/2019,25
1/11/2019,24
1/12/2019,23
1/13/2019,22
1/14/2019,21
1/15/2019,20
1/16/2019,19
1/17/2019,18
1/18/2019,18
1/19/2019,19
1/20/2019,19
1/21/2019,19
1/22/2019,20
1/23/2019,21
1/24/2019,22
1/25/2019,23
1/26/2019,24
1/27/2019,25
1/28/2019,25
1/29/2019,25
1/30/2019,24
1/31/2019,25
2/1/2019,20
2/2/2019,19
2/3/2019,19
2/4/2019,18
2/5/2019,19
2/6/2019,19
2/7/2019,20
2/8/2019,19
2/9/2019,19
2/10/2019,19
2/11/2019,18
2/12/2019,19
2/13/2019,20
2/14/2019,21
2/15/2019,22
2/16/2019,22
2/17/2019,23
2/18/2019,24
2/19/2019,25
2/20/2019,24
2/21/2019,20
2/22/2019,19
2/23/2019,19
2/24/2019,19
2/25/2019,19
2/26/2019,19
2/27/2019,19
2/28/2019,19
3/1/2019,20
3/2/2019,21
3/3/2019,22
3/4/2019,23
3/5/2019,24
3/6/2019,25
3/7/2019,24
3/8/2019,23
3/9/2019,22
3/10/2019,21
3/11/2019,20
3/12/2019,19
3/13/2019,18
3/14/2019,19
3/15/2019,20
3/16/2019,21
3/17/2019,22
3/18/2019,23
3/19/2019,24
3/20/2019,25
3/21/2019,22
3/22/2019,21
3/23/2019,19
3/24/2019,19
3/25/2019,20
3/26/2019,21
3/27/2019,22
3/28/2019,23
3/29/2019,24
3/30/2019,25
3/31/2019,26
4/1/2019,19
4/2/2019,19
4/3/2019,19
4/4/2019,21
4/5/2019,23
4/6/2019,19
4/7/2019,22
4/8/2019,19
4/9/2019,24
4/10/2019,19
4/11/2019,20
4/12/2019,19
4/13/2019,25
4/14/2019,19
4/15/2019,19
4/16/2019,23
4/17/2019,19
4/18/2019,19
4/19/2019,19
4/20/2019,23
4/21/2019,20
4/22/2019,22
4/23/2019,23
4/24/2019,19
4/25/2019,19
4/26/2019,20
4/27/2019,19
4/28/2019,22
4/29/2019,19
4/30/2019,19
5/1/2019,23
5/2/2019,24
5/3/2019,24
5/4/2019,24
5/5/2019,24
5/6/2019,24
5/7/2019,24
5/8/2019,24
5/9/2019,24
5/10/2019,24
5/11/2019,25
5/12/2019,26
5/13/2019,18
5/14/2019,19
5/15/2019,20
5/16/2019,21
5/17/2019,22
5/18/2019,23
5/19/2019,24
5/20/2019,25
5/21/2019,26
5/22/2019,19
5/23/2019,20
5/24/2019,19
5/25/2019,25
5/26/2019,26
5/27/2019,18
5/28/2019,19
5/29/2019,20
5/30/2019,21
5/31/2019,23
6/1/2019,23
6/2/2019,24
6/3/2019,25
6/4/2019,26
6/5/2019,19
6/6/2019,20
6/7/2019,25
6/8/2019,26
6/9/2019,18
6/10/2019,19
6/11/2019,20
6/12/2019,21
6/13/2019,22
6/14/2019,23
6/15/2019,23
6/16/2019,25
6/17/2019,26
6/18/2019,19
6/19/2019,18
6/20/2019,25
6/21/2019,26
6/22/2019,18
6/23/2019,19
6/24/2019,20
6/25/2019,21
6/26/2019,22
6/27/2019,25
6/28/2019,24
6/29/2019,25
6/30/2019,26
7/1/2019,19
7/2/2019,19
7/3/2019,25
7/4/2019,26
7/5/2019,18
7/6/2019,19
7/7/2019,20
7/8/2019,21
7/9/2019,22
7/10/2019,23
7/11/2019,23
7/12/2019,25
7/13/2019,25
7/14/2019,23
7/15/2019,19
7/16/2019,26
7/17/2019,19
7/18/2019,20
